Duration (in seconds),ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,PathMotivation,InjectionLines,InjectionMotivation,XSSLines,XSSMotivation,DoSLines,DoSMotivation,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Process.remarks
6030,R_3fDD5GzDzOlHRSG,Group2,Not really,As part of University projects,No experience,114;115;116;117;118;76;95,"normalize checks if ""/../"" appears at the beginning of the string but it doesn't check if ""/../"" appears in other parts of the string,which could lead to a path traversal. Line 76 normalize is called and line 95 returns object based on unsafe path","144;186;187,188;189;190;191;195",Line 144 - Injection: the function authenticate accepts user input without sanitization and uses it to access the data storage. Lines 186-191 and 195 - Injection: the function addUser doesn't sanitize the inputs and adds them to the storage,87;70;76,line 87: the function processAction calls getRequest() and returns a String based on the input received. Line 70;76:  processAction is called thus causing a potential XSS attack.,103;,"In line 103 headerbufferSize is set to a number provided by the user. If we don't run some checks ont the value, the buffer could end up taking all the memory available, thus compromising the execution.",Disagree,Strongly disagree,Easy,Hard,Hard,Very Hard,60-80%,40-60%,20-40%,40-60%,Agree,Agree,Strongly disagree,"Personally I found the task very hard because I had zero familiarity with the Java libraries used in this test. Also, the tasks given were adequate for students with more experience on security testing."
6269,R_pnMeooI8MkFdcf7,Group3,Not really,As part of University projects,No experience,81;95,The input 'path' taken from a user is used to construct a path,62;87;90,"If credentials=null, digest may throw null reference exception.",441;442;445;447:451, We get a query string in the request conext and we don't check its validity,230,the variable pos used in many if conditions and while loops is not initialized,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,Very Hard,40-60%,60-80%,20-40%,20-40%,Agree,Agree,Disagree,
6490,R_3m1ClGfJN3xbfGu,Group3,Not really,Developed several projects using Java,No experience,86;95,At line 86 we assign a tainted variable to queryString which is used then in application wrapper at line 95,87;90,At line 87 and 90 we call the function getBytes() on credentials variable that can be null since no check is performed. So it may throw a null reference exception with potential information disclosure.,347; 441;444,At line 441 a value from the context request is assigned to requestUri and it has not checked so an attacker can redirect the user to a malicious page since this value is set as the action of the form in the line 347,0,No vulnerability has been found,Agree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Very Hard,40-60%,40-60%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
6293,R_pgdIS3evHx2mDhT,Group6,Not really,As part of University projects,As part of University projects,849;859,"849: finds only one occurrence of ""\\""
859: if I'm not misinterpreting ""lastIndexOf"", the normalizing procedure just cuts off most of the path",361;59;95;87;77;66,"361: hardcoded string; 59: we get the user before controlling the credentials; 95: no catch; 87: could cause exception, not handled; 77: we should not return the plain credentials; 66: information disclosure on success of authentication",429;437,"429: an evaluate on user input is executed, could be an injection;437: user path not sanitized",235,"There is a buffer that is never resized, we could go beyond its boundaries. 235: we try to put data in the buffer, but the data may be too large",Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,20-40%,40-60%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Disagree,
6596,R_9FWi0slEmQdiJ2h,Group6,Not really,As part of University projects,As part of University projects,361;366,It is possible to insert a path that starts with / and read or write to other locations. The validation just checks the first character and not the other ones.,58,"There isn't any check on the credentials. If the user inserts a null value, this could generates a null reference exception error",426;433,No check on the value of the attribute,88,No check on the size of the buffer. Increasing by one could lead to buffer overflow,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Very Hard,Very Hard,40-60%,40-60%,20-40%,20-40%,Agree,Agree,Strongly disagree,
6555,R_3C7ryRNz1f5rsUF,Group3,Not really,As part of University projects,As part of University projects,116,"This line takes only into account ""/../"" and not ""../""","90,93",no checks if the credentials are null or not,466,Due to my lack of knowledge I cant answer correctly,6,Due to my lack of knowledge I am unable to answer,Strongly disagree,Strongly disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Agree,Neither-Agree-nor-Disagree,Strongly disagree,"Need a lot of web, java knowledge which I dont have"
6567,R_3lJgDVpBH9TmMF8,Group4,Not really,As part of University projects,As part of University projects,854;864;860;463,"The /../ payload could be URL encoded and the indexof method could not find any occurrence.
In addition the 463 contol is not sufficient so you can create a malicious .jar file.",195;159;163,"In line 195 there is no validations on username, password when genereting a GenericPrincipal. In the lines 159 and 163 there is an information disclosure of the username on the debug lo",67;74;89,Encoding in URL is not a efficient sanitization of the value inserted by the client. The normal action string are sanitized correctly with the method evaluate but the ServletRelativeAction not! So this is a entry point for XSS attack,70,The code lacks the check for a blank line that signals that the header parsing is done,Disagree,Neither-Agree-nor-Disagree,Very Hard,Hard,Hard,Very Hard,0-20%,0-20%,60-80%,0-20%,Agree,Disagree,Disagree,There was a difference between training material and the effective test. Maybe understanding so much lines of codes at once in the test was a bit disorienting respect to the files given in the training.
6675,R_pc3oz4BPPrQakyB,Group2,Not really,Developed project(s) using Java outside University,No experience,119;120,"if the last index of '/' is in a position in the string after a sequence of the type '/../', the latter would be kept anyway in the final string, therefore an attacker could navigate unauthorized upper layers of the service directory.",153;,"if the credentials are null, then validated = (digest(credentials).equals(principal.getPassword())); will return gibberish and validated will assume a non null value passing the check if (validated) on line 157",73,if the requestUri contains &lt;script&gt;js code&lt;/script&gt; this potentially malitious code will be executed client-side. The input is not sanitized neither is the processAction function that is subsequently invoked.,103;747;749,no contraints or upper bounds to the instance variable headerBufferSize. In the line 749 we create buf = new byte[bufLength]; but since bufLenght does not have upper boundaries the size of this array could become too big to handle.,Strongly disagree,Strongly disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Strongly disagree,Agree,Strongly disagree,
6739,R_3R935OVHA5w1rmf,Group3,Not really,As part of University projects,As part of University projects,76;118,"If there is a path traversal attempt the normalize method return null. However, in getRequestDispatcher before performing other operations is not checked  if the returned value is null or not.",62;87;90;94,Nowhere in the code the credential parameter is checked to see if it is null or not. If that attribute is equal to null then during the comparison with the stored password (line 62) an exception will be raise.,435;437;438;468,"If a user configured a ServletRelativeAction value then the value is prepended with the context and servlet paths, and the result is used and displayed in the page, without any validation or sanitization of the input.",1,I don't know. I was not able to find anything,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Hard,Very Hard,40-60%,40-60%,20-40%,0-20%,Agree,Neither-Agree-nor-Disagree,Disagree,
6771,R_6ieAUOhgZrNapTH,Group5,Not really,As part of University projects,As part of University projects,82;83;155,"In line 82 and 83 the attributes are set equals to the context variables, which can be manipulated by user. In line 155 function getresources is called on the attribute context",87;90;93,"As stated in comment before digest function, if any exception is thrown , the credentials in plain text will be returned, exposing really sensitive information. ",66;69;70;89,"First the action input from the user is stored in attribute action of code without being sanitised, the it is processed",103;747,the headerbuffersize is first set to a value inserted by the user and following is used to calculate the bufLength,Disagree,Agree,Hard,Hard,Hard,Hard,20-40%,20-40%,20-40%,20-40%,Agree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
6486,R_bOVyCEQJ7qvcIOB,Group5,Yes as a Research Assistant at University,Developed several projects using Java,Find vulnerabilities outside university,928;930;483,"The normalization function itself is fine.

However, in this particular place, the input is not normalized.",65,"The value of validated is not set / reset. If you login as a legit user, it becomes true. Logging in with an arbitrary non-existant user does not execute 62, so validated stays true and null is returned.",69;70,"In this section, the code blindly trusts the user's input and returns it to process it. The action value can be modified in the POST request.",805;413,"A blocking read is performed with an alleged timeout (timeout=true). However, In the function readSocket it becomes evident that the timeout parameter is never used. Thus, the blocking read is never timed out and can be left pending by the user -&gt;DOS",Disagree,Disagree,Very Hard,Hard,Very Easy,Very Hard,20-40%,20-40%,80%-100%,20-40%,Strongly disagree,Neither-Agree-nor-Disagree,Strongly disagree,"I have non-negligible experience with CTFs and I found this task really hard. I am used to experiment and play with values to break things, plainly looking at 1000 lines of codes is completely different. I am not happy with my work."
6822,R_9BtIcFBsoUnixxv,Group1,Yes in Java at a Company,Developed several projects using Java,No experience,208;225,"""uri"", thus ""mapuri"", thus ""child"" path is not normalized. This could be exploited with a path traversal attack.
",62;89;90;91,"62: when comparing password we should not use equalsIgnoreCase. 89:90;91 Since it is a try wihout a catch, the exceptions will not be captured. A possible DoS attack can be achieved with a big digest",445;447;451;468;470,"""queryString"" it is used in ""processAction"" without some proper validation. This can be exploited with a XSS attack",50;51,"there is nor a limit on the number of headers to be ""parsed"" now a maximum header size. As a result this can be exploited for DoS attack by performing a request with many HTTP headers or with a very long HTTP header ",Agree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,0-20%,40-60%,40-60%,80%-100%,Agree,Neither-Agree-nor-Disagree,Disagree,
7006,R_3CPBG9jpkpxs4ev,Group5,Not really,As part of University projects,As part of University projects,348;349,in the function getRealPath the input path is not checked and then is used to create a new file object that is returned to the user,90,"the ""credentials"" variable is not check, if for example is null then the function will throw an exception that is not handle by the code because there is no catch after the try",66;70,"the content of the variable ""action"" is not check and then used in the processAction function to process the action based on the input string ""action"" that has not been checked",103,"the method is public so the user can choose the value to give to headerBuferSzie in the program since the input the is assigned to the ""this.headerBufferSize""",Agree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Very Hard,20-40%,0-20%,0-20%,0-20%,Agree,Agree,Disagree,
1583,R_2SqOppb73i9h0Eo,Group1,Yes in Java at a Company,As part of University projects,As part of University projects,368;458;543,"The ""normalize"" function seems fine, but the usage is not correct: it should be called before the validation process, not after.
At line 505 it is used in the proper way, before the check: if (!path.startsWith(""/""))
Ex: ""\etc\passwd\"" will pass",65,"Validated is not declared In local scope, so I can reuse the previous value from the global scope if I just put a non existent username, need to reset it",;,I didn't get the use of evaluate,83;118;137;164;187;220,"No controls on pos index, could be an infinite loop that leads to a waste of resource",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Easy,Hard,Neither Hard Nor Easy,80%-100%,80%-100%,0-20%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,"Fix this web app please, it crashed just because I press ""back"" button on the first question to see my remaining time"
2622,R_2isV4zPp3WUqKRD,Group5,Yes in Java at a Company,Developed several projects using Java,No experience,466;468;471,"never validated where the gerResource request came from, could be an attacker that now can access files",59;62;93,Here data is asked of a user but never checked for validity,66;70;89,The action is never validated for malicious activity and is processed,392;399,The buffer is expanded but newsize is never validated,Neither-Agree-nor-Disagree,Agree,Very Hard,Hard,Hard,Very Hard,40-60%,40-60%,40-60%,40-60%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,Maybe provide a better IDE to read the code. I really missed clicking around between functions to see how they are connected.
2981,R_8tqCeUALRGIrtE5,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,76;93;111,The application can be tricked into reading or writing files at arbitrary locations,151;153;196,"User input isn't sanitized for special characters, commands can be injected.",447;451,Code can be injected using the queryString variable,50;51,DOS can be achieved by overloading the parsing method with a large amount of long headers. Header size is only checked after parsing.,Disagree,Neither-Agree-nor-Disagree,Very Hard,Very Hard,Very Hard,Hard,20-40%,20-40%,20-40%,60-80%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,
3007,R_2jAQqnAKnSgyf4w,Group6,Yes but in another programming language at a Company,As part of University projects,As part of University projects,108;120,the path is modified and after modification it is not validated.,196,data is being written into the database which can have special characters,444;447,query string is being echoed back to the browser unchecked,73;221,user controlled allocated memory and loop conditions,Agree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,Hard,40-60%,20-40%,20-40%,20-40%,Agree,Agree,Agree,
4853,R_8xe8PTr1XL38IaB,Group5,Yes but in another programming language at a Company,As part of University projects,Find vulnerabilities outside university,373;392;396;407;408;419;421;422;429,"Inside the ""getRequestDispatcher"" function, the object of the mappingData gets recycled at the end of the function, however this part may never be reached by the catch statement on line 419 where the function gets returned, there is also no final {}",62;65;85;86;87;89;94,Bytes inside the digest function can be returned as null and function of authenticate does not return a value for all paths.,68;72;73;74;76;76,"When the action string has no text, the requestUri gets processed without evaluation, it does get encoded but not evaluated.",569;660;661,"Inside parseHeader(), the headerData only gets recyled in the end of the function, but the function can be returned at an earlier point.",Agree,Disagree,Hard,Neither Hard Nor Easy,Very Easy,Very Hard,40-60%,20-40%,80%-100%,20-40%,Agree,Agree,Agree,"I'm not sure whether I know the definition of ""signature"" of a method well enough, I thought it is like: ""what are the requirements, to follow this certain path in the method?"". Further on, larger files made it harder to find the vulnerabilities than smaller files. (in terms of lines of code of course) But that is more a note to myself maybe."
4912,R_8UvXGyj7xfN3jmp,Group3,Yes in Java at a Company,Several years of professional experience with Java,Find vulnerabilities outside university,79;87;111;114;119,"With the normalized.replace, the attacker can replace with some other path to gain access to files. The parameters pos, semicolon, index, and index 2 all take values depending on user input directory which the attacker can manipulate.",59;62;93;94,"In line 59 and 62, the get function for username and password can be appended with an SQL command to get the user's credentials. In like 93 and 94, the attacker can use string operations update and convert to delete or update user data.",466;480,The request tag in both processAction and doEndTag methods use the getRequest() method which can be used by the attacker for an XSS attack,398;749,Both lines 398 and 749 take user inputs as array size which can be used to overflow the server and cause DoS.,Agree,Agree,Hard,Hard,Hard,Very Hard,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Agree,
5321,R_2OUcMW9QDVNt7jo,Group2,Yes but in another programming language at a Company,As part of University projects,As part of University projects,86;92,path.indexOf(';') can return 0.  pos - semicolon can be negative causing buffer overflow,180;195,the string are not validated before new user credential are added to the xml,74;87,requesturi is not validated before using as argument,459;424,"socket not closed, not sure about it. little unclear on the correct assement",Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,40-60%,40-60%,40-60%,0-20%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,
4305,R_8q8DkOhOWMoMGYN,Group6,Not really,As part of University projects,No experience,114;119,"These codes don't process with the starting of the path. If the path begins with ""/"", that will access the root of the system.",321,This code doesn't check whether the path which user inputs is in valid realm.,345;429;467;468,These codes don't check whether the actions from tags are valid.,55,"If the request header is too large, it may overflow the buffer and leads to DOS status.",Strongly disagree,Disagree,Hard,Very Hard,Very Hard,Hard,20-40%,0-20%,0-20%,20-40%,Neither-Agree-nor-Disagree,Agree,Strongly disagree,
7015,R_2kOvRCfl8uLkwcp,Group1,Not really,Developed several projects using Java,As part of University projects,944;910,Path traversal bug,86,information disclosure bug,466,Cross-Site Scripting (XSS):  getRequest,56,Denial of Service Connections are never closes if the updates have a problem and eventually the server runs out of steam,Neither-Agree-nor-Disagree,Disagree,Very Hard,Very Hard,Very Hard,Very Hard,20-40%,20-40%,20-40%,20-40%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Disagree,
7253,R_8PXmB8o9Ld76pye,Group4,Yes as a Research Assistant at University,As part of University projects,No experience,348; 349,"In the getRealPath() function we are allowing an attacker to get the absolute path to virtually any resource in the host which allows the attacker then to no longer require ""/../"" to get resources even if the normalize() function is used later on.",147;148;149;150;151;152;153;154;155;156,The attacker could brute force his way into finding out the passwords of other users by analysing the output of the authenticate() function,73;74;87;89,This implementation allows for cross-site scripting where the attacker can inject their own script into the website and access web data outside of their path in a non-restricted fashion.,52;177;187;201;209;235,"An attacker could feed a potentially endless multi-line header, leading the process to a buffer overflow or a memory drain due to the fact that the check for the input size to not be too large is validated only after the parseHeaders() function ends.",Neither-Agree-nor-Disagree,Agree,Easy,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,80%-100%,60-80%,60-80%,40-60%,Agree,Agree,Agree,
